Day,Date,Price_USD,Thomas_Francis_Wallet_USD,Jordan_Shreeves_Wallet_USD
1,2029-09-20,15706.86967815,31413739356.3,31413739356.3
2,2029-09-21,16841.8790829,33683758165.8,33683758165.8
3,2029-09-22,15177.0677907,30354135581.4,30354135581.4
4,2029-09-23,14552.1593889,29104318777.8,29104318777.8
5,2029-09-24,14595.43360072,29190867201.44,29190867201.44
6,2029-09-25,14131.89462388,28263789247.76,28263789247.76
7,2029-09-26,15973.93746024,31947874920.48,31947874920.48
8,2029-09-27,15885.33506063,31770670121.26,31770670121.26
9,2029-09-28,17073.21581362,34146431627.24,34146431627.24
10,2029-09-29,17548.04883848,35096097676.96,35096097676.96
11,2029-09-30,16324.2321377,32648464275.4,32648464275.4
12,2029-10-01,15447.26733995,30894534679.9,30894534679.9
13,2029-10-02,14355.82850385,28711657007.7,28711657007.7
14,2029-10-03,14412.31284127,28824625682.54,28824625682.54
15,2029-10-04,14757.71406579,29515428131.58,29515428131.58
16,2029-10-05,12931.26025272,25862520505.44,25862520505.44
17,2029-10-06,14235.71237196,28471424743.92,28471424743.92
18,2029-10-07,14436.3730652,28872746130.4,28872746130.4
19,2029-10-08,14406.47646923,28812952938.46,28812952938.46
20,2029-10-09,14188.74181646,28377483632.92,28377483632.92
21,2029-10-10,16290.70184629,32581403692.58,32581403692.58
22,2029-10-11,16224.45108247,32448902164.94,32448902164.94
23,2029-10-12,16167.59868673,32335197373.46,32335197373.46
24,2029-10-13,17313.19176856,34626383537.12,34626383537.12
25,2029-10-14,17504.18029495,35008360589.9,35008360589.9
26,2029-10-15,18841.09991361,37682199827.22,37682199827.22
27,2029-10-16,19183.05820856,38366116417.12,38366116417.12
28,2029-10-17,19498.85051029,38997701020.58,38997701020.58
29,2029-10-18,21702.51769299,43405035385.98,43405035385.98
30,2029-10-19,21835.18407549,43670368150.98,43670368150.98
31,2029-10-20,20542.12539651,41084250793.02,41084250793.02
32,2029-10-21,18779.49150813,37558983016.26,37558983016.26
33,2029-10-22,19073.9511853,38147902370.6,38147902370.6
34,2029-10-23,17850.89537839,35701790756.78,35701790756.78
35,2029-10-24,19162.69993266,38325399865.32,38325399865.32
36,2029-10-25,19811.21426435,39622428528.7,39622428528.7
37,2029-10-26,19539.05392007,39078107840.14,39078107840.14
38,2029-10-27,18748.81207615,37497624152.3,37497624152.3
39,2029-10-28,18846.40390449,37692807808.98,37692807808.98
40,2029-10-29,19979.45887872,39958917757.44,39958917757.44
41,2029-10-30,21635.61010562,43271220211.24,43271220211.24
42,2029-10-31,15178.07425065,30356148501.3,30356148501.3
43,2029-11-01,17867.84497142,35735689942.84,35735689942.84
44,2029-11-02,13331.99243936,26663984878.72,26663984878.72
45,2029-11-03,12263.39028269,24526780565.38,24526780565.38
46,2029-11-04,14038.76449851,28077528997.02,28077528997.02
47,2029-11-05,15645.06738768,31290134775.36,31290134775.36
48,2029-11-06,17048.97738337,34097954766.74,34097954766.74
49,2029-11-07,16331.14056426,32662281128.52,32662281128.52
50,2029-11-08,17986.95797912,35973915958.24,35973915958.24
51,2029-11-09,18027.44182313,36054883646.26,36054883646.26
52,2029-11-10,16304.87022383,32609740447.66,32609740447.66
53,2029-11-11,15623.42480298,31246849605.96,31246849605.96
54,2029-11-12,14279.61437886,28559228757.72,28559228757.72
55,2029-11-13,15518.48091339,31036961826.78,31036961826.78
56,2029-11-14,17235.10537028,34470210740.56,34470210740.56
57,2029-11-15,16035.94216003,32071884320.06,32071884320.06
58,2029-11-16,16012.11989796,32024239795.92,32024239795.92
59,2029-11-17,16708.89476452,33417789529.04,33417789529.04
60,2029-11-18,15389.21297975,30778425959.5,30778425959.5
61,2029-11-19,16771.13749871,33542274997.42,33542274997.42
62,2029-11-20,15647.60173062,31295203461.24,31295203461.24
63,2029-11-21,14155.22335945,28310446718.9,28310446718.9
64,2029-11-22,13375.29918994,26750598379.88,26750598379.88
65,2029-11-23,13126.99258967,26253985179.34,26253985179.34
66,2029-11-24,12390.59325387,24781186507.74,24781186507.74
67,2029-11-25,13796.91529485,27593830589.7,27593830589.7
68,2029-11-26,13952.01203638,27904024072.76,27904024072.76
69,2029-11-27,12584.08641312,25168172826.24,25168172826.24
70,2029-11-28,13077.90063283,26155801265.66,26155801265.66
71,2029-11-29,11789.50585559,23579011711.18,23579011711.18
72,2029-11-30,13473.15472238,26946309444.76,26946309444.76
73,2029-12-01,12373.56844916,24747136898.32,24747136898.32
74,2029-12-02,12072.73142716,24145462854.32,24145462854.32
75,2029-12-03,12395.07294514,24790145890.28,24790145890.28
76,2029-12-04,11775.91053871,23551821077.42,23551821077.42
77,2029-12-05,11003.97456487,22007949129.74,22007949129.74
78,2029-12-06,11353.25036017,22706500720.34,22706500720.34
79,2029-12-07,10131.42665971,20262853319.42,20262853319.42
80,2029-12-08,11132.73638051,22265472761.02,22265472761.02
81,2029-12-09,10150.37874789,20300757495.78,20300757495.78
82,2029-12-10,9282.28699902,18564573998.04,18564573998.04
83,2029-12-11,9277.11444855,18554228897.1,18554228897.1
84,2029-12-12,7858.88379345,15717767586.9,15717767586.9
85,2029-12-13,7934.66432922,15869328658.44,15869328658.44
86,2029-12-14,7567.7656297,15135531259.4,15135531259.4
87,2029-12-15,7858.39091996,15716781839.92,15716781839.92
88,2029-12-16,7876.88442819,15753768856.38,15753768856.38
89,2029-12-17,8558.22171398,17116443427.96,17116443427.96
90,2029-12-18,8052.00280286,16104005605.72,16104005605.72
91,2029-12-19,8676.53502203,17353070044.06,17353070044.06
92,2029-12-20,8771.10353842,17542207076.84,17542207076.84
93,2029-12-21,8508.2490655,17016498131.0,17016498131.0
94,2029-12-22,8751.03430419,17502068608.38,17502068608.38
95,2029-12-23,8315.3345725,16630669145.0,16630669145.0
96,2029-12-24,8018.47760013,16036955200.26,16036955200.26
97,2029-12-25,7764.93984265,15529879685.3,15529879685.3
98,2029-12-26,7963.51176128,15927023522.56,15927023522.56
99,2029-12-27,7976.62470139,15953249402.78,15953249402.78
100,2029-12-28,6800.44811754,13600896235.08,13600896235.08
101,2029-12-29,7712.56685596,15425133711.92,15425133711.92
102,2029-12-30,7163.56047744,14327120954.88,14327120954.88
103,2029-12-31,6880.90274045,13761805480.9,13761805480.9
104,2030-01-01,7437.30005466,14874600109.32,14874600109.32
105,2030-01-02,7861.70390294,15723407805.88,15723407805.88
106,2030-01-03,7681.44021847,15362880436.94,15362880436.94
107,2030-01-04,7639.70866174,15279417323.48,15279417323.48
108,2030-01-05,8414.16801742,16828336034.84,16828336034.84
109,2030-01-06,7479.93489491,14959869789.82,14959869789.82
110,2030-01-07,8073.08365418,16146167308.36,16146167308.36
111,2030-01-08,8645.22174397,17290443487.94,17290443487.94
112,2030-01-09,8037.79367223,16075587344.46,16075587344.46
113,2030-01-10,9142.31461632,18284629232.64,18284629232.64
114,2030-01-11,9849.38848921,19698776978.42,19698776978.42
115,2030-01-12,10871.08729641,21742174592.82,21742174592.82
116,2030-01-13,10909.00174823,21818003496.46,21818003496.46
117,2030-01-14,10153.23393588,20306467871.76,20306467871.76
118,2030-01-15,9961.26709298,19922534185.96,19922534185.96
119,2030-01-16,8405.65455097,16811309101.94,16811309101.94
120,2030-01-17,7952.59279428,15905185588.56,15905185588.56
121,2030-01-18,8479.30711625,16958614232.5,16958614232.5
122,2030-01-19,8007.84911039,16015698220.78,16015698220.78
123,2030-01-20,8346.15440248,16692308804.96,16692308804.96
124,2030-01-21,9923.00091843,19846001836.86,19846001836.86
125,2030-01-22,9610.03080198,19220061603.96,19220061603.96
126,2030-01-23,9977.45694965,19954913899.3,19954913899.3
127,2030-01-24,8916.00666394,17832013327.88,17832013327.88
128,2030-01-25,9717.79596775,19435591935.5,19435591935.5
129,2030-01-26,10587.94043696,21175880873.92,21175880873.92
130,2030-01-27,9790.7657636,19581531527.2,19581531527.2
131,2030-01-28,8872.08362108,17744167242.16,17744167242.16
132,2030-01-29,8225.67288869,16451345777.38,16451345777.38
133,2030-01-30,7524.88401957,15049768039.14,15049768039.14
134,2030-01-31,7946.61090155,15893221803.1,15893221803.1
135,2030-02-01,8739.46365506,17478927310.12,17478927310.12
136,2030-02-02,8920.15701693,17840314033.86,17840314033.86
